id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
Q16221305,Merilyn Gómez Pozos,,,MC,mc,,Chamber of Deputies,62,,,,female
Q5846799,Miguel Alonso Raya,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16196684,Miguel Sámano Peralta,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16146526,Miguel Ángel Aguayo,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16186608,Minerva Castillo Rodríguez,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16195453,Miriam Cárdenas Cantú,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16194111,Mirna Esmeralda Hernández,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16189557,Mirna Velázquez López,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16213690,Máximo Othón Zayas,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16220920,Mónica García de la Fuente,,,PVEM,pvem,,Chamber of Deputies,62,,,,female
Q6037076,Nabor Ochoa López,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q6039583,Nelly González Aguilar,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q15379205,Nelly Vargas,,,MC,mc,,Chamber of Deputies,62,,,,female
Q16195750,Norma Ponce Orozco,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16204837,Noé Barrueta,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16196058,Noé Hernández González,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16196591,Nuvia Mayorga Delgado,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16194556,Néstor Octavio Gordillo Castillo,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16199744,Omar Antonio Borboa,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16216731,Oscar Eduardo Ramírez Aguilar,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q16215027,Ossiel Niaves López,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16214497,Patricia Lugo Barriga,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16216717,Patricia Peña Recio,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16193322,Patricia Retamoza,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16151254,Patricio Flores Sandoval,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16222329,Paulina Alejandra Del Moral,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16211243,Pedro Gómez Gómez,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16213496,Pedro Ignacio Domínguez,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q7159849,Pedro Pablo Treviño Villarreal,,,PRI,pri,,Chamber of Deputies,62,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Pedro_Pablo_Trevino_Villarreal.jpg,male
Q16191035,Pedro Porras Pérez,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q16193947,Petra Barrera Barrera,,,PRI,pri,,Chamber of Deputies,62,,,,female
Q16222519,Ponciano Vázquez Parissi,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q6093372,Purificación Carpinteyro Calderón,,,PRD,prd,,Chamber of Deputies,62,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Purificación_Carpinteyro.jpg,female
Q16242962,Raciel López Salazar,,,PVEM,pvem,,Chamber of Deputies,62,,,,male
Q16143384,Rafael Acosta Croda,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16212228,Rafael Alejandro Micalco,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16218506,Rafael González Reséndiz,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16190850,Ramón Montalvo Hernández,,,PRD,prd,,Chamber of Deputies,62,,,,male
Q9066352,Ramón Sampayo Ortíz,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16196522,Raquel Jiménez Cerrillo,,,PAN,pan,,Chamber of Deputies,62,,,,female
Q16205939,Raudel López López,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16215868,Raymundo King,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16195550,Raúl Gómez Ramírez,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16105991,Raúl Macías Sandoval,,,PRI,pri,,Chamber of Deputies,62,,,,male
Q16216000,Raúl Paz Alonzo,,,PAN,pan,,Chamber of Deputies,62,,,,male
Q16106631,Raúl Santos Galván Villanueva,,,PRI,pri,,Chamber of Deputies,62,,,,male
